source,target
RSAorg,RhondaSharrah
RSAorg,ReidProf
RSAorg,RECIRC_
RSAorg,RSAorg
RECIRC_,RSAorg
AlbertRolls1,medrenliza
BrothersCammy,stefanovil
BrothersCammy,BrothersCammy
BrothersCammy,CelenzaChris
RhondaSharrah,ReidProf
Barataria1615,MedGoldenAge
FarahmBazzi,murphyhs2019
briancasey123,boydellbrewer
briancasey123,IMEMSDurham
jeffjarvis,puckinspirit
jeffjarvis,APettegree
CaritasKhanasak,degruyter_arts
CaritasKhanasak,dg_medieval
CaritasKhanasak,degruyter_arts
ArtmuseumNews,owilliamsdc
ArtmuseumNews,medrenliza
RSAorg,murphyhs2019
RSAorg,JSpanUK
RSAorg,rhetorician
RSAorg,stefanovil
dg_medieval,degruyter_arts
dg_medieval,dg_medieval
dg_medieval,degruyter_arts
RSAorg,degruyter_arts
RSAorg,dg_medieval
RSAorg,degruyter_arts
RSAorg,rhetorician
RSAorg,sarahceross
degruyter_arts,dg_medieval
rhetorician,sarahceross
GameCulturesSoc,AmsterdamUPress
iberianart,Benito_Navarret
iberianart,unisevilla
iberianart,CIRIMA4
DrPastonsRUs,boydellbrewer
Caramuelisa,Benito_Navarret
Caramuelisa,unisevilla
Caramuelisa,CIRIMA4
GrainneBlair,AmsterdamUPress
egaffney4,AmsterdamUPress
egaffney4,AmsterdamUPress
egaffney4,CelenzaChris
egaffney4,AmsterdamUPress
GalleKarl,murphyhs2019
dg_medieval,degruyter_arts
robert_stagg,RSAorg
Molocus2,EdwardWorthLib
ArtmuseumNews,richardcalis
ArtmuseumNews,trude_dijkstra
luisribeiro,ErcRutter
SergiBravo,NobincisUCM
SergiBravo,RSAorg
SarahALang_,de_dedris
SarahALang_,SarahALang_
NobincisUCM,RSAorg
jrdiazfernan88,CAP_Ltd
jrdiazfernan88,LaraDodds
jrdiazfernan88,MichelleMDowd
jrdiazfernan88,UnivNebPress
salustio_maria,EdwardWorthLib
LaraDodds,CAP_Ltd
LaraDodds,LaraDodds
LaraDodds,MichelleMDowd
LaraDodds,UnivNebPress
MichelleMDowd,CAP_Ltd
MichelleMDowd,LaraDodds
MichelleMDowd,MichelleMDowd
MichelleMDowd,UnivNebPress
CanaryCaroline,boydellbrewer
Tom5731,EdwardWorthLib
stefanovil,BrothersCammy
EHPC_BookSeries,chandrica_barua
EHPC_BookSeries,RSAorg
egaffney4,chandrica_barua
egaffney4,RSAorg
GlenFearce1,Benito_Navarret
GlenFearce1,unisevilla
GlenFearce1,CIRIMA4
murphyhs2019,EdwardWorthLib
LFG_Hist,Benito_Navarret
LFG_Hist,unisevilla
LFG_Hist,CIRIMA4
RSAorg,EdwardWorthLib
RSAorg,fairban_c
RSAorg,DelilahBermudez
RSAorg,robert_stagg
CIRIMA4,Benito_Navarret
CIRIMA4,unisevilla
CIRIMA4,CIRIMA4
RSAorg,Benito_Navarret
RSAorg,unisevilla
RSAorg,CIRIMA4
CIRIMA4,Benito_Navarret
CIRIMA4,unisevilla
CIRIMA4,CIRIMA4
Benito_Navarret,unisevilla
Benito_Navarret,CIRIMA4
jrdiazfernan88,AmsterdamUPress
jrdiazfernan88,HaigZS
ps2270,RSAorg
Benito_Navarret,unisevilla
Benito_Navarret,CIRIMA4
ArtmuseumNews,owilliamsdc
CAP_Ltd,caviaremptor
jotis13,DelilahBermudez
Rochi_Saiyajin,AmsterdamUPress
BenjaminRedding,boydellbrewer
veredes,Sagarq_
veredes,tcddublin
TimHarrisBrown,boydellbrewer
CLLMcCallum,Julien_LeMauff
CLLMcCallum,RSAorg
NatashaSerne,EdwardWorthLib
moveteachinspir,EdwardWorthLib
CamLibResearch,EdwardWorthLib
FarahmBazzi,RSAorg
RSAorg,CAP_Ltd
barrytorch14,medrenliza
barrytorch14,aewaiwhy
DrCLaoutaris,AmsterdamUPress
DrCLaoutaris,CelenzaChris
RSAorg,boydellbrewer
RSAorg,Sagarq_
RSAorg,tcddublin
RSAorg,NoteArtHerstory
RSAorg,AmsterdamUPress
RSAorg,RSAorg
RSAorg,UDelPress
RSAorg,RSAorg
RSAorg,UDelPress
RSAorg,AmsterdamUPress
RSAorg,CelenzaChris
iamgabbarson,AmsterdamUPress
AmsterdamUPress,CelenzaChris
emsantos,ErcRutter
MarieAdelineT,Julien_LeMauff
MarieAdelineT,RSAorg
emsantos,ErcRutter
klaustoon,Sagarq_
klaustoon,tcddublin
canderson771,AmsterdamUPress
canderson771,canderson771
UDelPress,RSAorg
UDelPress,UDelPress
murphyhs2019,RSAorg
egaffney4,NoteArtHerstory
egaffney4,AmsterdamUPress
egaffney4,RSAorg
NoteArtHerstory,AmsterdamUPress
NoteArtHerstory,RSAorg
Sagarq_,tcddublin
RSAorg,puckinspirit
RSAorg,APettegree
puckinspirit,APettegree
egaffney4,HaigZS
egaffney4,RSAorg
egaffney4,LeaderAnnePhD
RSAorg,DelilahBermudez
RSAorg,stefanovil
RSAorg,L_Sansonetti
RSAorg,JotaDO
RSAorg,RSAorg
RSAorg,elenaspnll
DrCLaoutaris,AmsterdamUPress
L_Sansonetti,stefanovil
Mikael_Alm,AmsterdamUPress
Mikael_Alm,mandyrichter_fi
Mikael_Alm,AmsterdamUPress
Mikael_Alm,canderson771
stefanovil,L_Sansonetti
egaffney4,AmsterdamUPress
egaffney4,AmsterdamUPress
egaffney4,canderson771
egaffney4,AmsterdamUPress
egaffney4,AmsterdamUPress
egaffney4,TristanMostert
egaffney4,AmsterdamUPress
egaffney4,AmsterdamUPress
egaffney4,HaigZS
egaffney4,AmsterdamUPress
egaffney4,mandyrichter_fi
RitaEsposito22,AmsterdamUPress
medrenliza,RECIRC_
ClioVis,chiaracapulli
ClioVis,florence4d
ClioVis,MichelaYoung
prometheus_eV,degruyter_arts
RSAorg,LeaderAnnePhD
RSAorg,anna_kowalcze
RSAorg,MarCavendishSoc
RSAorg,HarryMcCarthy
JotaDO,RSAorg
RSAorg,owilliamsdc
RSAorg,medrenliza
RSAorg,Liekevdeinsen
RSAorg,AmsterdamUPress
RSAorg,degruyter_arts
RSAorg,emi_rowe
RSAorg,BethanyGaunt1
RSAorg,stella_wisgrill
RSAorg,AmsterdamUPress
RSAorg,HaigZS
RSAorg,richardcalis
RSAorg,trude_dijkstra
RSAorg,jotis13
RSAorg,stefanovil
RSAorg,AmsterdamUPress
RSAorg,AmsterdamUPress
RSAorg,mandyrichter_fi
RSAorg,chiaracapulli
RSAorg,florence4d
RSAorg,MichelaYoung
RSAorg,chiaracapulli
RSAorg,cambUP_History
RSAorg,medrenliza
RSAorg,marshelle_w
quijoteduca,MedGoldenAge
quijoteduca,RSAorg
quijoteduca,of_cervantes
quijoteduca,CaliopeSrbhp
RSAorg,owilliamsdc
RSAorg,NiallOddy
medrenliza,RECIRC_
RSAorg,stefanovil
RSAorg,medrenliza
RSAorg,owilliamsdc
RSAorg,nam__rao
RSAorg,OwenKane
RSAorg,ManchesterUP
RSAorg,Julien_LeMauff
RSAorg,RSAorg
RSAorg,ErcRutter
RSAorg,chandrica_barua
RSAorg,RSAorg
RSAorg,HaigZS
RSAorg,RSAorg
RSAorg,ErcRutter
DelilahBermudez,anna_kowalcze
DelilahBermudez,MarCavendishSoc
GrahamRKings,stefanovil
owilliamsdc,CecileFromont
marshelle_w,medrenliza
marshelle_w,marshelle_w
marshelle_w,owilliamsdc
marshelle_w,medrenliza
marshelle_w,medrenliza
medrenliza,marshelle_w
Caramuelisa,TLRHub
Caramuelisa,TLRHub
JMMorenoMadrid,ErcRutter
eternalmagpie,andiesilva
florence4d,chiaracapulli
florence4d,florence4d
florence4d,MichelaYoung
HaigZS,RSAorg
MiraAssafK,owilliamsdc
MiraAssafK,medrenliza
chandrica_barua,RSAorg
NielsNykrog,RSAorg
Maritime1400,AmsterdamUPress
Maritime1400,HaigZS
DannyBuckUEA,stefanovil
DigtalHumanatee,chiaracapulli
DigtalHumanatee,chiaracapulli
DigtalHumanatee,florence4d
DigtalHumanatee,MichelaYoung
ERC_TIDE,AmsterdamUPress
ERC_TIDE,HaigZS
JMMorenoMadrid,ErcRutter
lauren_working,AmsterdamUPress
lauren_working,HaigZS
owilliamsdc,TLRHub
owilliamsdc,tcddublin
owilliamsdc,tcdalumni
owilliamsdc,TCDEnglish
owilliamsdc,tcdlibrary
owilliamsdc,TCDResearchColl
owilliamsdc,EvePatten9
owilliamsdc,AMHansen22
owilliamsdc,CaoimheWhelan
Ryan_Asquez,stefanovil
HaigZS,AmsterdamUPress
HaigZS,HaigZS
BotLabhd,chiaracapulli
BotLabhd,chiaracapulli
BotLabhd,florence4d
BotLabhd,MichelaYoung
chiaracapulli,florence4d
chiaracapulli,MichelaYoung
DrCLaoutaris,AmsterdamUPress
AmsterdamUPress,mandyrichter_fi
mirellamarini1,AmsterdamUPress
CAP_Ltd,LaraDodds
CAP_Ltd,MichelleMDowd
CAP_Ltd,UnivNebPress
JonathanEgid,Julien_LeMauff
JonathanEgid,RSAorg
richardcalis,trude_dijkstra
AmsterdamUPress,HaigZS
emi_rowe,BethanyGaunt1
Julien_LeMauff,RSAorg
jotis13,RSAorg
owilliamsdc,medrenliza
HarryMcCarthy,UrvashiChakrav
HarryMcCarthy,MiraAssafK
HarryMcCarthy,Becky_Fall
HarryMcCarthy,YasmineHachimi
HarryMcCarthy,emeramchugh
HarryMcCarthy,DanCunniffe
LeaderAnnePhD,florenceasitwas
anna_kowalcze,MarCavendishSoc
ps2270,RSAorg
DrPastonsRUs,jessrachelhoney
iamgabbarson,AmsterdamUPress
iamgabbarson,TristanMostert
robert_stagg,RSAorg
HiddenCitiesEU,stefanovil
HiddenCitiesEU,FJNevola
HiddenCitiesEU,HiddenCitiesEU
owilliamsdc,medrenliza
FJNevola,stefanovil
FJNevola,FJNevola
FJNevola,HiddenCitiesEU
CecileFromont,RSAorg
AmsterdamUPress,TristanMostert
Caramuelisa,owilliamsdc
Caramuelisa,tcddublin
L_Sansonetti,VINCE_Mate
AmsterdamUPress,canderson771
anna_kowalcze,RSAorg
LonardJulien3,JSpanUK
ArtmuseumNews,RSAorg
ykaeRenaissance,medrenliza
ykaeRenaissance,UrvashiChakrav
maxson_brian,AmsterdamUPress
RSAorg,MedGoldenAge
AndreamLondon,degruyter_arts
RSAorg,Medienstuebchen
RSAorg,dg_medieval
RSAorg,degruyter_arts
RSAorg,RSAorg
RSAorg,UKY_Classics
ClaireMacLeod42,gj_kemp
ClaireMacLeod42,martinevanelk
shakesinireland,vitticomacchi
ArtmuseumNews,dg_medieval
ArtmuseumNews,degruyter_arts
ArtmuseumNews,RSAorg
stefanovil,_EMoDiR_
Medienstuebchen,dg_medieval
Medienstuebchen,degruyter_arts
Medienstuebchen,RSAorg
BillSherman_,SRSRenSoc
BillSherman_,Warburg_News
RSAorg,ReidProf
OxonResearch,JSpanUK
CaoimheWhelan,TLRHub
CaoimheWhelan,TLRHub
Becky_Fall,medrenliza
Becky_Fall,medrenliza
Becky_Fall,emeramchugh
Becky_Fall,medrenliza
APettegree,gj_kemp
APettegree,universalstc
APettegree,elisewatson_
APettegree,JE_Baxter
Becky_Fall,medrenliza
Becky_Fall,MiraAssafK
Becky_Fall,debapriya__s
Becky_Fall,medrenliza
Becky_Fall,YasmineHachimi
Becky_Fall,medrenliza
Becky_Fall,UrvashiChakrav
Becky_Fall,YasmineHachimi
degruyter_arts,dg_medieval
degruyter_arts,degruyter_arts
degruyter_arts,RSAorg
DiLeed,YasmineHachimi
RSAorg,vitticomacchi
ArtmuseumNews,RhondaSharrah
RSAorg,robert_stagg
RSAorg,RSAorg
RSAorg,anna_kowalcze
RSAorg,Benito_Navarret
RSAorg,puckinspirit
RSAorg,dg_medieval
RSAorg,degruyter_arts
RSAorg,RSAorg
RSAorg,RhondaSharrah
eringriffey,egaffney4
onslies,serenadinepi
onslies,onslies
onslies,_EMoDiR_
onslies,RSAorg
onslies,helena_w_strom
onslies,stefanovil
dg_medieval,degruyter_arts
dg_medieval,RSAorg
dg_medieval,RSAorg
dg_medieval,degruyter_arts
sartorialfoodie,AmsterdamUPress
sartorialfoodie,m_bassnett
olgag,trude_dijkstra
olgag,GenieYoo818
olgag,TristanMostert
WandaWyporska,emi_rowe
robert_stagg,RSAorg
UChicagoAlumni,MedGoldenAge
robert_stagg,RSAorg
SoenViolet,gj_kemp
SoenViolet,martinevanelk
ArtmuseumNews,robert_stagg
ArtmuseumNews,RSAorg
ArtmuseumNews,nam__rao
walkerabroad,medrenliza
AHHEresearch,puckinspirit
AHHEresearch,egaffney4
AHHEresearch,evelynwelch2013
AHHEresearch,cath_fletcher
BA_McShane,boydellbrewer
BA_McShane,IMEMSDurham
RSAorg,SRSRenSoc
RSAorg,Warburg_News
RenSwordClub,bramvanleuveren
SRSRenSoc,Warburg_News
a__medievalist,TLRHub
a__medievalist,TLRHub
RSAorg,MedGoldenAge
RSAorg,ErcRutter
RSAorg,JarrikVDBiest
RSAorg,WyffelsHeleen
RSAorg,DieterCammaerts
RSAorg,KnowStudents
RSAorg,EMHLeuven
RSAorg,WyffelsHeleen
freya_sierhuis,TLRHub
freya_sierhuis,TLRHub
ArtmuseumNews,_EMoDiR_
JMMorenoMadrid,ErcRutter
JarrikVDBiest,WyffelsHeleen
JarrikVDBiest,DieterCammaerts
JarrikVDBiest,KnowStudents
JarrikVDBiest,EMHLeuven
JarrikVDBiest,WyffelsHeleen
anitaocooper,owilliamsdc
anitaocooper,tcddublin
restalrig,JSpanUK
CCSDham,boydellbrewer
CCSDham,IMEMSDurham
monksinmotion,boydellbrewer
monksinmotion,IMEMSDurham
medrenliza,aewaiwhy
katkosior,JSpanUK
MiraAssafK,YasmineHachimi
jotis13,andiesilva
tcdlibrary,TLRHub
tcdlibrary,TLRHub
RareBookLibAntw,ana_strl
stefanovil,LilyChadwick13
ArtmuseumNews,EmmaLCahill
stefanovil,owilliamsdc
stefanovil,tcddublin
jotis13,evelynwelch2013
jotis13,cath_fletcher
RSAorg,MedGoldenAge
RSAorg,MedGoldenAge
RSAorg,L_Sansonetti
RSAorg,ana_strl
RSAorg,TLRHub
RSAorg,TLRHub
RSAorg,YasmineHachimi
evelynwelch2013,cath_fletcher
RSAorg,owilliamsdc
RSAorg,tcddublin
Christophe_Fir,ana_strl
victorianclare,TLRHub
victorianclare,TLRHub
klillington,TLRHub
klillington,TLRHub
TLRHub,TLRHub
RSAorg,andiesilva
VVAK_nl,trude_dijkstra
VVAK_nl,GenieYoo818
VVAK_nl,TristanMostert
medrenliza,emeramchugh
stefanovil,Patricksmcg
Risk2021,ana_strl
jotis13,owilliamsdc
jotis13,tcddublin
Nicosia_Marissa,medrenliza
byjennytan,CAP_Ltd
byjennytan,UrvashiChakrav
byjennytan,PennPress
jamielockejones,gj_kemp
jamielockejones,martinevanelk
PennPress,CAP_Ltd
PennPress,UrvashiChakrav
PennPress,PennPress
Library_RIA,owilliamsdc
Library_RIA,tcddublin
MiraAssafK,medrenliza
MiraAssafK,MiraAssafK
MiraAssafK,debapriya__s
MiraAssafK,medrenliza
MiraAssafK,YasmineHachimi
MiraAssafK,medrenliza
MiraAssafK,Becky_Fall
MiraAssafK,medrenliza
MiraAssafK,UrvashiChakrav
MiraAssafK,medrenliza
YasmineHachimi,medrenliza
YasmineHachimi,YasmineHachimi
YasmineHachimi,medrenliza
owilliamsdc,tcddublin
RSAorg,jotis13
RSAorg,CAP_Ltd
jotis13,RECIRC_
Jibunnessa,Beckalex
WorthingtonD,RSAorg
WorthingtonD,RSAorg
RSAorg,stefanovil
RSAorg,MRospocher
RSAorg,Benito_Navarret
RSAorg,robert_stagg
RSAorg,RSAorg
RSAorg,nam__rao
RSAorg,egaffney4
RSAorg,Dries_Raey
RSAorg,medrenliza
RSAorg,MiraAssafK
RSAorg,debapriya__s
RSAorg,RECIRC_
RSAorg,davkell
RSAorg,CAP_Ltd
RSAorg,Beckalex
RSAorg,RichardTYoder1
RSAorg,histcatholiques
RichardTYoder1,histcatholiques
RSAorg,FFf6f
RSAorg,utpress
MMAHendriksen,trude_dijkstra
MMAHendriksen,GenieYoo818
MMAHendriksen,TristanMostert
BotLabhd,RECIRC_
BotLabhd,davkell
RECIRC_,davkell
DavidRdeBoer,dcvanderlinden
ArtmuseumNews,robert_stagg
ArtmuseumNews,RSAorg
medrenliza,MiraAssafK
medrenliza,debapriya__s
RosanneBaars,dcvanderlinden
Dries_Raey,dcvanderlinden
RECIRC_,davkell
BotLabhd,RECIRC_
BotLabhd,earlymodirish
RECIRC_,earlymodirish
medrenliza,YasmineHachimi
RenSwordClub,JSpanUK
RECIRC_,earlymodirish
aewaiwhy,medrenliza
ECFjournal,UDelPress
ECFjournal,UDelPress
KathrynVSantos,aewaiwhy
KathrynVSantos,Becky_Fall
medrenliza,Becky_Fall
cazmarris,Liekevdeinsen
cazmarris,NinaGeerdink
tinasmussen,emi_rowe
egaffney4,AmsterdamUPress
robert_stagg,RSAorg
robert_stagg,nam__rao
stefanovil,MRospocher
CAP_Ltd,cherbuliez
CAP_Ltd,FordhamPress
medrenliza,UrvashiChakrav
quevedoking,JSpanUK
RSAorg,boydellbrewer
RSAorg,IMEMSDurham
RSAorg,degruyter_arts
RSAorg,aewaiwhy
RSAorg,Becky_Fall
RSAorg,drMCailloux
RSAorg,MedGoldenAge
RSAorg,MedGoldenAge
RSAorg,RSAorg
RSAorg,of_cervantes
RSAorg,CaliopeSrbhp
RSAorg,Brepols
RSAorg,RSAorg
RECIRC_,evan_bourke
RECIRC_,macmorr1s_
MedGoldenAge,RSAorg
MedGoldenAge,of_cervantes
MedGoldenAge,CaliopeSrbhp
Brepols,RSAorg
senjatanuklir,trude_dijkstra
senjatanuklir,GenieYoo818
senjatanuklir,TristanMostert
egaffney4,martinamampy
egaffney4,aewaiwhy
egaffney4,Becky_Fall
egaffney4,medrenliza
CUHistoryDept,RSAorg
CUHistoryDept,RSAorg
stefanovil,FJNevola
stefanovil,HiddenCitiesEU
CAP_Ltd,UrvashiChakrav
CAP_Ltd,PennPress
aewaiwhy,Becky_Fall
boydellbrewer,IMEMSDurham
saframpton,trude_dijkstra
saframpton,GenieYoo818
saframpton,TristanMostert
egaffney4,robert_stagg
egaffney4,RSAorg
egaffney4,L_Sansonetti
iberianart,degruyter_arts
CanaryCaroline,boydellbrewer
stefanovil,_EMoDiR_
EHPC_BookSeries,AmsterdamUPress
EHPC_BookSeries,rgwakeman
RSAorg,andiesilva
RSAorg,Torabik5
RSAorg,owilliamsdc
JenniferRichar7,emi_rowe
RSAorg,martinamampy
ArtmuseumNews,RSAorg
ArtmuseumNews,RSAorg
GenieYoo818,trude_dijkstra
GenieYoo818,GenieYoo818
GenieYoo818,TristanMostert
deirdre_flynn,MooreInst
deirdre_flynn,davkell
deirdre_flynn,RECIRC_
andiesilva,Torabik5
DrCLaoutaris,AmsterdamUPress
WromanticHistry,JSpanUK
egaffney4,owilliamsdc
egaffney4,Benito_Navarret
egaffney4,JSpanUK
egaffney4,_EMoDiR_
egaffney4,emi_rowe
egaffney4,HistorianDiary
egaffney4,AmsterdamUPress
egaffney4,Liekevdeinsen
egaffney4,NinaGeerdink
mirellamarini1,JSpanUK
egaffney4,trude_dijkstra
egaffney4,GenieYoo818
egaffney4,TristanMostert
hiramjmorgan,_EMoDiR_
egaffney4,samanthaflutist
RSAorg,_EMoDiR_
RSAorg,AmsterdamUPress
RSAorg,VINCE_Mate
RSAorg,trude_dijkstra
RSAorg,GenieYoo818
RSAorg,TristanMostert
Ines_benardc,ErcRutter
RSAorg,stella_wisgrill
RSAorg,HistorianDiary
RSAorg,samanthaflutist
RSAorg,robert_stagg
RSAorg,RSAorg
RSAorg,utpress
RSAorg,UDelPress
RSAorg,UDelPress
LindaAnnNolan,helena_w_strom
LindaAnnNolan,LindaAnnNolan
CourtStudies,JSpanUK
LibraryLivingJT,UDelPress
LibraryLivingJT,UDelPress
UDelPress,UDelPress
alexaj_mcc,degruyter_arts
cguyver,JSpanUK
ZBrookman,gj_kemp
ZBrookman,universalstc
ZBrookman,elisewatson_
ZBrookman,JE_Baxter
CarelWesselius,trude_dijkstra
